density_gap,density_name,target_slice,target_z,class,n_spots,gene,generated_mean,target_mean,generated_zero_prop,target_zero_prop
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,1700057H15Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,2610028E06Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,2900052N01Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,4921534H16Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,4921539H07Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,4930426D05Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,4930438E09Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,4930452B06Rik,0.0,1.0,1.0,0.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,4930467D21Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,4930509J09Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,5830418P13Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,6430628N08Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,6530403H02Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,9330158H04Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,9630002D21Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,A2m,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,A330076C08Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,A630012P03Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,A730046J19Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,A830009L08Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,A830019P07Rik,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,A830036E02Rik,6.0,4.0,0.0,0.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,AW551984,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Abca8a,0.0,1.0,1.0,0.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Abcc9,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Abhd12b,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Abi3bp,0.0,5.0,1.0,0.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Acsbg1,2.0,2.0,0.0,0.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Acta2,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Actn2,1.0,1.0,0.0,0.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Acvr1c,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adad1,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adam12,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adam18,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adam33,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamts12,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamts16,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamts18,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamts19,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamts2,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamts9,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamtsl1,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adamtsl3,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adcy2,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adcy7,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adcy8,0.0,13.0,1.0,0.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adcyap1,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adgrd1,0.0,0.0,1.0,1.0
10,sparse_gap10,6,0.2,01 IT-ET Glut,1,Adgrf5,0.0,0.0,1.0,1.0
