density_gap,density_name,target_slice,target_z,class,n_spots,gene,generated_mean,target_mean,generated_zero_prop,target_zero_prop
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,1700057H15Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,2610028E06Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,2900052N01Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,4921534H16Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,4921539H07Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,4930426D05Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,4930438E09Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,4930452B06Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,4930467D21Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,4930509J09Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,5830418P13Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,6430628N08Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,6530403H02Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,9330158H04Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,9630002D21Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,A2m,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,A330076C08Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,A630012P03Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,A730046J19Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,A830009L08Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,A830019P07Rik,0.0,0.0,1.0,1.0
3,dense_gap3,14,0.8315371239389605,01 IT-ET Glut,1,A830036E02Rik,0.0,5.0,1.0,0.0
